contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker,midPrice,ask_bid_spread,expiration,days_to_exp,T,spot,moneyness,log_moneyness,bs_price
AMZN260618C00215000,2025-06-23 19:32:30+00:00,215.0,28.19,27.7,27.95,-0.1800003,-0.6344741,11.0,3560.0,0.3723207299804688,False,REGULAR,USD,call,2026-06-18,AMZN,27.825,0.25,2026-06-18,358,0.9808219178082191,208.47000122070312,0.9696279126544332,-0.030842876277783357,31.53731967047625
AMZN260618C00220000,2025-06-23 19:49:24+00:00,220.0,25.55,25.35,25.55,-0.70000076,-2.6717587,54.0,6930.0,0.3664308963012695,False,REGULAR,USD,call,2026-06-18,AMZN,25.450000000000003,0.1999999999999993,2026-06-18,358,0.9808219178082191,208.47000122070312,0.9475909146395597,-0.05383239450248208,29.011684571551967
AMZN260618C00225000,2025-06-23 19:23:56+00:00,225.0,23.6,23.15,23.35,-0.69000053,-2.8406773,29.0,4894.0,0.3615328739929199,False,REGULAR,USD,call,2026-06-18,AMZN,23.25,0.20000000000000284,2026-06-18,358,0.9808219178082191,208.47000122070312,0.9265333387586806,-0.07630525035454065,26.67522183704864
AMZN260618C00230000,2025-06-23 19:42:58+00:00,230.0,21.25,21.05,21.3,-1.0,-4.494382,2280.0,2699.0,0.3570620935058594,False,REGULAR,USD,call,2026-06-18,AMZN,21.175,0.25,2026-06-18,358,0.9808219178082191,208.47000122070312,0.906391309655231,-0.09828415707331598,24.48387764741932
AMZN260618C00235000,2025-06-23 13:47:40+00:00,235.0,20.1,19.0,19.35,0.25,1.2594458,1.0,2800.0,0.3524082093811034,False,REGULAR,USD,call,2026-06-18,AMZN,19.175,0.3500000000000014,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8871063881732048,-0.11979036229427958,22.387686804793717
AMZN260618C00240000,2025-06-23 19:28:31+00:00,240.0,17.72,17.35,17.55,-0.2800007,-1.5555594,33.0,2712.0,0.3481968257141113,False,REGULAR,USD,call,2026-06-18,AMZN,17.450000000000003,0.1999999999999993,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8686250050862631,-0.14084377149211186,20.437733708848285
AMZN260618C00245000,2025-06-23 19:29:45+00:00,245.0,16.1,15.7,15.9,-0.6499996,-3.8805947,27.0,2051.0,0.3444889770507812,False,REGULAR,USD,call,2026-06-18,AMZN,15.8,0.20000000000000107,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8508979641661352,-0.16146305869484762,18.63750439073725
AMZN260618C00250000,2025-06-23 19:47:27+00:00,250.0,14.3,14.2,14.35,-0.9499998,-6.229507,114.0,4293.0,0.3406590592956542,False,REGULAR,USD,call,2026-06-18,AMZN,14.274999999999999,0.15000000000000036,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8338800048828126,-0.18166576601236695,16.934131672720298
AMZN260618C00255000,2025-06-20 14:31:21+00:00,255.0,14.1,12.75,12.95,0.0,0.0,12.0,1732.0,0.3374394869995117,False,REGULAR,USD,call,2026-06-18,AMZN,12.85,0.1999999999999993,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8175294165517769,-0.20146839330854677,15.38372018790691
AMZN260618C00260000,2025-06-23 16:37:01+00:00,260.0,11.5,11.5,11.65,-1.0,-8.0,12.0,1698.0,0.3342046560668945,False,REGULAR,USD,call,2026-06-18,AMZN,11.575,0.15000000000000036,2026-06-18,358,0.9808219178082191,208.47000122070312,0.8018076970027044,-0.22088647916564824,13.932985570274809
